Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
26213,8.6,425,11,9,12,8,1,2,1,20,4,2211,1
24002,9.0,354,12,13,11,2,0,0,0,16,2,-2211,0
28207,8.6,422,18,22,18,2,0,0,0,16,4,-1358,1
29565,8.6,360,18,30,18,5,1,1,1,12,7,1358,0
31046,9.2,434,19,23,12,7,1,0,0,21,5,5255,1
25791,8.8,358,12,18,19,3,0,2,1,15,3,-5255,0
32711,9.4,444,25,21,5,8,3,2,1,20,5,10985,1
21726,8.0,348,5,7,25,2,0,0,0,12,2,-10985,0
24640,8.8,403,10,14,13,3,0,0,0,17,4,-2136,0
26776,8.6,421,13,8,10,5,1,1,1,14,2,2136,1
27604,8.8,394,10,9,12,8,1,1,0,15,4,521,1
27083,9.0,403,12,12,10,5,0,1,1,17,7,-521,0
37566,9.0,431,29,41,10,12,6,1,1,19,6,14336,1
23230,7.2,295,10,12,29,3,0,0,0,15,0,-14336,0
25042,9.0,435,9,9,13,2,0,0,0,17,7,-2377,0
27419,9.2,425,13,12,9,2,0,1,1,24,4,2377,1
24262,9.0,424,8,12,8,2,0,1,0,20,5,-1237,0
25499,9.2,460,8,7,8,6,0,0,1,19,1,1237,1
26680,8.6,402,12,10,13,4,1,1,1,17,1,-351,1
27031,8.8,396,13,17,12,4,1,1,0,20,3,351,0
25184,8.8,398,6,12,9,4,1,0,1,20,1,1922,0
23262,8.6,416,9,8,6,1,0,1,0,21,3,-1922,1
25356,8.8,434,11,13,7,2,0,1,0,18,6,1004,1
24352,8.6,435,7,7,11,1,0,0,1,18,8,-1004,0
30455,9.4,425,17,22,6,7,2,0,1,16,2,6724,1
23731,8.8,381,6,4,17,3,0,1,0,17,1,-6724,0
23061,8.8,359,8,9,11,2,0,0,1,16,3,-2190,0
25251,8.8,430,11,8,8,4,0,1,0,22,3,2190,1
27084,9.0,455,9,8,16,5,1,1,0,21,3,-1288,0
28372,9.2,445,16,16,9,4,0,0,1,19,4,1288,1
24456,9.0,382,7,7,11,6,1,0,0,18,3,-1901,0
26357,9.0,413,11,11,7,6,1,2,1,21,4,1901,1
32184,9.2,464,17,12,6,12,4,1,1,21,4,12400,1
19784,7.8,284,6,2,17,0,0,0,0,14,3,-12400,0
29700,9.0,412,16,19,11,6,2,0,1,19,2,4707,1
24993,8.8,362,11,8,16,2,0,1,0,21,4,-4707,0
24755,8.6,390,10,9,12,4,0,0,0,15,4,-2555,0
27310,9.2,425,12,19,10,3,1,2,1,19,4,2555,1
23171,8.6,382,6,10,9,5,1,0,1,16,3,-2732,0
25903,8.8,459,9,8,6,2,0,1,0,19,2,2732,1
21920,8.8,389,6,5,14,3,0,0,0,18,4,-6130,0
28050,9.2,375,14,17,6,11,2,1,1,15,4,6130,1
24486,9.0,415,10,13,2,4,0,1,1,17,4,1011,1
23475,9.2,500,2,1,10,5,0,0,0,17,3,-1011,0
25469,9.4,387,11,14,8,4,0,0,1,14,8,499,1
24970,8.8,414,8,9,11,0,0,1,0,21,4,-499,0
20560,8.4,394,4,2,11,0,0,0,1,15,3,-4496,0
25056,8.8,382,11,9,4,7,0,1,0,16,5,4496,1
24395,8.6,363,10,14,15,5,1,0,1,19,4,-4103,0
28498,9.0,392,15,21,10,7,2,2,0,15,1,4103,1
32083,9.2,402,22,22,7,4,2,1,1,17,4,9695,1
22388,8.2,333,7,7,22,2,0,0,0,19,4,-9695,0
